prod_link,title,price,rating
https://amazon.in/sspa/click?ie=UTF8&spc=MTo1OTMxNjIzNjU2MzcwNjg2OjE3MDAzMDEyMDU6c3BfYXRmOjMwMDA4OTY2NzA0ODEzMjo6MDo6&url=%2FSony-PS5%25C2%25AE-Console-Modern-Warfare%25C2%25AE%2Fdp%2FB0CMQPPMB1%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1700301205%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Sony PS5® Console – Call of Duty® Modern Warfare® III Bundle,"₹49,390",4.5 out of 5 stars
https://amazon.in/Sony-PS5%C2%AE-Console-Modern-Warfare%C2%AE/dp/B0CMQPPMB1/ref=sr_1_2?keywords=playstation+5&qid=1700301205&sr=8-2,Sony PS5® Console – Call of Duty® Modern Warfare® III Bundle,"₹49,390",4.5 out of 5 stars
https://amazon.in/Sony-PS5-Digital-Standalone/dp/B0BSNHFVL4/ref=sr_1_3?keywords=playstation+5&qid=1700301205&sr=8-3,PS5 Digital Standalone,"₹44,990",4.7 out of 5 stars
https://amazon.in/Big-Ant-Studios-Standard-Playstation/dp/B0C1N2YPX6/ref=sr_1_4?keywords=playstation+5&qid=1700301205&sr=8-4,"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","₹4,039",2.8 out of 5 stars
https://amazon.in/Sony-Ragnarok-Standard-Game-PlayStation/dp/B0B6FGSKCQ/ref=sr_1_5?keywords=playstation+5&qid=1700301205&sr=8-5,Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"₹2,999",4.6 out of 5 stars
https://amazon.in/PS5-Horizon-Forbidden-West-standard/dp/B09FJX6JSZ/ref=sr_1_6?keywords=playstation+5&qid=1700301205&sr=8-6,Sony Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"₹2,499",4.6 out of 5 stars
https://amazon.in/Capcom-Street-Fighter-Standard-Playstation/dp/B0C1NW1Z1X/ref=sr_1_7?keywords=playstation+5&qid=1700301205&sr=8-7,"Capcom Street Fighter 6, Standard Edition, Playstation 5","₹3,523",5.0 out of 5 stars
https://amazon.in/PlayStation-5-DualSense-Wireless-Controller/dp/B08H99BPJN/ref=sr_1_8?keywords=playstation+5&qid=1700301205&sr=8-8,PlayStation 5 DualSense Wireless Controller,"₹6,990",4.6 out of 5 stars
https://amazon.in/PS5-Spiderman-2-Standard-Edn/dp/B0C7VLXMT4/ref=sr_1_9?keywords=playstation+5&qid=1700301205&sr=8-9,PS5 Spiderman 2 Standard Edn.,"₹4,999",4.8 out of 5 stars
https://amazon.in/UFC-5-Standard-PlayStation/dp/B0CKSWX5NV/ref=sr_1_10?keywords=playstation+5&qid=1700301205&sr=8-10,UFC 5 | Standard Edition | PlayStation 5,"₹4,999",Not Found
https://amazon.in/sspa/click?ie=UTF8&spc=MTo1OTMxNjIzNjU2MzcwNjg2OjE3MDAzMDEyMDU6c3BfbXRmOjIwMDc4NTU5NTc5OTk4OjowOjo&url=%2FDorca%25C2%25AE-Dust-Cover-Playstation-Digital%2Fdp%2FB0BBB4LQS7%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dplaystation%2B5%26qid%3D1700301205%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3T6DOKH74HKNP,Dorca® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,₹259,4.4 out of 5 stars
https://amazon.in/EA-Sports-WRC-Standard-PlayStation/dp/B0CKSWPYMJ/ref=sr_1_12?keywords=playstation+5&qid=1700301205&sr=8-12,EA Sports WRC | Standard Edition | PlayStation 5,"₹3,499",Not Found
https://amazon.in/Assassins-Creed-Mirage-Deluxe-PlayStation/dp/B0CB8NKPNC/ref=sr_1_13?keywords=playstation+5&qid=1700301205&sr=8-13,Assassin's Creed Mirage | Deluxe Edition | PlayStation 5,"₹3,986",4.7 out of 5 stars
https://amazon.in/Hot-Wheels-Unleashed-Turbocharged-PlayStation/dp/B0CB8NBL65/ref=sr_1_14?keywords=playstation+5&qid=1700301205&sr=8-14,Hot Wheels Unleashed 2 - Turbocharged | Standard Edition | PlayStation 5,"₹2,999",Not Found
https://amazon.in/PS5-Grand-Theft-Auto-V/dp/B09XJ8FGVP/ref=sr_1_15?keywords=playstation+5&qid=1700301205&sr=8-15,Rockstar Games PS5 Grand Theft Auto V,"₹1,898",4.4 out of 5 stars
https://amazon.in/WB-Games-Mortal-Standard-PlayStation/dp/B0C5WVDXGX/ref=sr_1_16_mod_primary_new?keywords=playstation+5&qid=1700301205&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-16,Mortal Kombat 1 | Standard Edition | PlayStation 5,"₹4,298",4.4 out of 5 stars
https://amazon.in/NARUTO-BORUTO-Ultimate-Standard-PlayStation/dp/B0CKSWR7XF/ref=sr_1_17?keywords=playstation+5&qid=1700301205&sr=8-17,NARUTO X BORUTO Ultimate Ninja STORM | Standard Edition | PlayStation 5,"₹3,499",Not Found
https://amazon.in/PSS-Carrying-Waterproof-Playstation-Accessories/dp/B0B6CWDJS4/ref=sr_1_18?keywords=playstation+5&qid=1700301205&sr=8-18,"PSS Storage Bag for PS5, Travel Bag for PS5, Carrying Case Hard Shell for PS5,Waterproof Shoulder Bag for Playstation 5, PS5 Console Disc/Digital Edition and Accessories Bag","₹2,199",4.2 out of 5 stars
